text,label
Se observó caja eléctrica abierta en el cuarto eléctrico con peligro de contacto directo durante la inspección.,riesgo_electrico
se detectó recipiente mal cerrado con reactivo en producción con posibilidad de intoxicación.,riesgo_quimico
el montacargas atrapó la mano del operario en la línea de producción.,riesgo_mecanico
el colaborador se deslizó al caminar en la bodega por piso mojado durante el turno.,riesgo_caida
"El personal informó falta de orden y limpieza en la zona operativa en la zona de carga, lo que dificulta la circulación segura.",riesgo_general
El operario sufrió atrapamiento parcial en el equipo mientras ajustaba la maquinaria en el taller.,riesgo_mecanico
La trabajadora tropezó en el pasillo y cayó debido a agua acumulada en la zona de carga cerca del muelle mientras movilizaba materiales.,riesgo_caida
el ayudante se deslizó al caminar en la rampa de acceso por una superficie resbaladiza durante el turno.,riesgo_caida
"Se registró falta de orden y limpieza en la zona operativa en el pasillo principal, sin medidas preventivas visibles.",riesgo_general
El tablero de distribución estaba abierto y sin señalización de peligro eléctrico.,riesgo_electrico
el recorrido evidenció falta de orden y limpieza en producción con riesgo operacional general.,riesgo_general
el operador encontró almacenamiento inadecuado de químicos en el laboratorio con posibilidad de intoxicación.,riesgo_quimico
Se observó cable expuesto en el taller con posibilidad de cortocircuito durante la inspección.,riesgo_electrico
el recorrido evidenció desorden en el área en producción con riesgo operacional general.,riesgo_general
durante la inspección se observó derrame de solvente cerca del tanque con posibilidad de intoxicación.,riesgo_quimico
"Durante la inspección se vio cableado deteriorado en una máquina energizada junto a una zona operativa, representando riesgo eléctrico para el personal.",riesgo_electrico
"Se reportó un cable expuesto junto a un equipo conectado en la línea de proceso, mientras el equipo permanecía energizado.",riesgo_electrico
el recorrido evidenció salida de emergencia bloqueada en el pasillo principal con incumplimiento de normas básicas.,riesgo_general
el equipo funcionaba sin bloqueo de seguridad en el área de corte.,riesgo_mecanico
el operador operaba con protector dañado en mantenimiento.,riesgo_mecanico
durante la inspección se observó derrame de solvente en producción afectando la seguridad del personal.,riesgo_quimico
se detectó envase con sustancia inflamable abierto en el cuarto de sustancias requiriendo contención inmediata.,riesgo_quimico
la trabajadora sufrió una caída al mismo nivel cerca del almacén por falta de cinta antideslizante durante el turno.,riesgo_caida
el almacenista cargó sacos sin técnica adecuada en la línea de producción y terminó con dolor en muñeca.,riesgo_ergonomico
Hubo casi accidente por escalón sin cinta antideslizante en acceso a mantenimiento.,riesgo_caida
La mano del operador recibió un golpe al manipular una herramienta industrial mientras ajustaba la maquinaria en la banda de traslado.,riesgo_mecanico
"Se identificó riesgo de cortocircuito en el tablero de control cerca del laboratorio, con acceso libre del personal operativo.",riesgo_electrico
el torno podía causar corte o golpe en el área de corte.,riesgo_mecanico
la máquina presentó partes móviles sin guarda durante limpieza del equipo.,riesgo_mecanico
el trabajador empujó carga manual sin ayuda en la línea de producción provocando tensión en cuello y hombros.,riesgo_ergonomico
el supervisor identificó derrame de solvente en el almacén afectando la seguridad del personal.,riesgo_quimico
el supervisor informó herramientas fuera de lugar en producción sin un peligro específico identificado.,riesgo_general
Se observó aislamiento dañado en el área de lavado que podía provocar electrocución durante la inspección.,riesgo_electrico
Se observó enchufe recalentado al lado del compresor generando chispas durante la inspección.,riesgo_electrico
"Se identificó mala señalización en el pasillo de circulación en la zona de despacho, sin que exista un control visual adecuado.",riesgo_general
se observó falta de orden y limpieza en producción afectando la seguridad del área.,riesgo_general
el operador encontró envase con sustancia inflamable abierto en el laboratorio afectando la seguridad del personal.,riesgo_quimico
Se observó enchufe recalentado en la línea 2 cerca de humedad acumulada durante la inspección.,riesgo_electrico
el colaborador sufrió una caída al mismo nivel en la rampa de acceso por una superficie resbaladiza durante el turno.,riesgo_caida
durante la inspección se detectó obstrucción de pasillos en el almacén afectando la seguridad del área.,riesgo_general
el operador encontró fuga de químico corrosivo en producción con posibilidad de intoxicación.,riesgo_quimico
la prensa funcionaba sin bloqueo de seguridad en el área de corte.,riesgo_mecanico
el montacargas presentó partes móviles sin guarda durante la operación.,riesgo_mecanico
"Se observó desorden general y materiales fuera de lugar en el área de producción, aumentando el riesgo operativo general.",riesgo_general
el montacarguista se fue de lado al pisar la mancha cerca del almacén por una superficie resbaladiza durante el turno.,riesgo_caida
el supervisor identificó almacenamiento inadecuado de químicos cerca del tanque afectando la seguridad del personal.,riesgo_quimico
el empleado sostuvo herramientas pesadas por tiempo prolongado en la línea de producción y presentó dolor lumbar.,riesgo_ergonomico
un colaborador giró el tronco repetidas veces al acomodar piezas durante la carga del camión con riesgo ergonómico acumulado.,riesgo_ergonomico
la máquina mostraba riesgo de atrapamiento en el área de corte.,riesgo_mecanico
El trabajador recibió un golpe al manipular una herramienta industrial mientras ajustaba la maquinaria en producción.,riesgo_mecanico
el empleado trabajó encorvado frente a la mesa durante la carga del camión y presentó dolor lumbar.,riesgo_ergonomico
La operaria recibió un golpe con la banda transportadora por ausencia de guarda de seguridad en el área de mantenimiento.,riesgo_mecanico
el recorrido evidenció desorden en el área en producción afectando la seguridad del área.,riesgo_general
la cortadora tenía punto de pellizco expuesto durante limpieza del equipo.,riesgo_mecanico
un colaborador mantuvo postura forzada durante horas en el área de despacho con riesgo ergonómico acumulado.,riesgo_ergonomico
la cortadora funcionaba sin bloqueo de seguridad en la línea de producción.,riesgo_mecanico
el almacenista realizó movimientos repetitivos de hombro en el almacén y presentó dolor lumbar.,riesgo_ergonomico
Se observó cable expuesto al lado del compresor con peligro de contacto directo durante la inspección.,riesgo_electrico
Se reportó olor a quemado y recalentamiento en una extensión utilizada para equipos industriales.,riesgo_electrico
durante la inspección se observó salpicadura de sustancia peligrosa en el cuarto de sustancias que podía causar quemaduras.,riesgo_quimico
la auxiliar trabajó encorvado frente a la mesa en el área de despacho ocasionando incomodidad postural.,riesgo_ergonomico
se detectó mezcla química sin etiquetado en el laboratorio que podía causar quemaduras.,riesgo_quimico
La trabajadora tropezó en el pasillo y cayó por aceite derramado en el piso en la zona de carga mientras movilizaba materiales.,riesgo_caida
el montacargas operaba con protector dañado al iniciar el turno.,riesgo_mecanico
la auxiliar realizó movimientos repetitivos de hombro en el almacén con riesgo ergonómico acumulado.,riesgo_ergonomico
Se observó enchufe recalentado en el cuarto eléctrico cerca de humedad acumulada durante la inspección.,riesgo_electrico
Se observó tablero sin tapa en el taller cerca de humedad acumulada durante la inspección.,riesgo_electrico
El supervisor resbaló durante el desplazamiento por un derrame no limpiado a tiempo en la zona de carga mientras movilizaba materiales.,riesgo_caida
la auxiliar empujó carga manual sin ayuda durante la carga del camión generando sobreesfuerzo físico.,riesgo_ergonomico
durante la inspección se detectó mala señalización en producción con riesgo operacional general.,riesgo_general
Se detectó fuga de solvente químico en un recipiente mal cerrado dentro del almacén.,riesgo_quimico
durante la inspección se observó mezcla química sin etiquetado en producción con posibilidad de intoxicación.,riesgo_quimico
"El operario detectó un cable expuesto junto a un equipo conectado cerca del laboratorio, representando riesgo eléctrico para el personal.",riesgo_electrico
el empleado mantuvo postura forzada durante horas en la línea de producción generando sobreesfuerzo físico.,riesgo_ergonomico
la auxiliar sostuvo herramientas pesadas por tiempo prolongado en la estación de empaque ocasionando incomodidad postural.,riesgo_ergonomico
Se observó extensión deteriorada junto a la máquina de corte con riesgo de descarga durante la inspección.,riesgo_electrico
Durante mantenimiento se encontró conductor pelado conectado a una máquina en operación.,riesgo_electrico
el supervisor informó salida de emergencia bloqueada en el área de empaque que generaba condición insegura.,riesgo_general
el visitante se fue de lado al pisar la mancha en la rampa de acceso por una superficie resbaladiza durante el turno.,riesgo_caida
Se observó enchufe recalentado cerca de una zona húmeda generando chispas durante la inspección.,riesgo_electrico
"Durante la inspección se detectó falta de orden y limpieza en la zona operativa en el almacén, aumentando el riesgo operativo general.",riesgo_general
el ayudante sufrió una caída al mismo nivel en el área de carga por agua acumulada durante el turno.,riesgo_caida
El trabajador tuvo contacto con una pieza móvil al intervenir la máquina sin bloqueo previo en el área de mantenimiento.,riesgo_mecanico
un colaborador levantó cajas pesadas repetidamente en la mesa de ensamblaje ocasionando incomodidad postural.,riesgo_ergonomico
el visitante resbaló y cayó al suelo en la rampa de acceso por restos de lubricante durante el turno.,riesgo_caida
